Precinct,Political Party,Count of Voters by Party
4044,,
,DEMOCRATIC,308
,NO AFFILIATION,6
,INDEPENDENCE,1
,INDEPENDENT,1
,REPUBLICAN,4
,Count of Voters in 4044:,320
4045,,
,NON-PARTISAN,1
,DEMOCRATIC,296
,OTHER,1
,INDEPENDENT REPUBLICAN,1
,REPUBLICAN,7
,NO AFFILIATION,6
,INDEPENDENT,1
,Count of Voters in 4045:,313
4046,,
,NO PARTY,1
,REPUBLICAN,11
,DEMOCRATIC,286
,NO AFFILIATION,8
,Count of Voters in 4046:,306
4047,NO AFFILIATION,3
,DEMOCRATIC,74
,REPUBLICAN,1
,Count of Voters in 4047:,78
4048,,
,DEMOCRATIC,255
,NON-PARTISAN,1
,LIBERTARIAN,1
,REPUBLICAN,15
,INDEPENDENT,1
,NO AFFILIATION,7
,Count of Voters in 4048:,280
4049,,
,INDEPENDENT,2
,REPUBLICAN,23
,NO AFFILIATION,10
,NOT SURE,1
,DEMOCRATIC,255
,Count of Voters in 4049:,291
4050,,
,REPUBLICAN,6
,INDEPENDENT,1
,NO AFFILIATION,6
,DEMOCRATIC,244
,LIBERTARIAN,1
,Count of Voters in 4050:,258
4051,,
,REPUBLICAN,6
,INDEPENDENT,1
,NO AFFILIATION,2
,DEMOCRATIC,129
,NONE,1
,Count of Voters in 4051:,139
4101,,
,DEMOCRATIC,124
,INDEPENDENT,1
,REPUBLICAN,9
,GREEN,1
,NO AFFILIATION,2
,Count of Voters in 4101:,137
4102,,
,UNAFFILIATED,1
,INDEPENDENT,1
,REPUBLICAN,19
,DEMOCRATIC,102
,NO AFFILIATION,4
,Count of Voters in 4102:,127
4103,,
,DEMOCRATIC,104
,REPUBLICAN,15
,NO AFFILIATION,2
,INDEPENDENT DEMOCRAT,1
,Count of Voters in 4103:,122
4104,,
,INDEPENDENT,2
,REPUBLICAN,35
,NO AFFILIATION,4
,DEMOCRATIC,151
,Count of Voters in 4104:,192
4105,,
,REPUBLICAN,18
,LIBERTARIAN,1
,AMERICAN EAGLE,1
,NO AFFILIATION,6
,DEMOCRATIC,80
,Count of Voters in 4105:,106
4106,,
,CONSTITUTIONAL,1
,INDEPENDENT,1
,DEMOCRATIC,102
,REPUBLICAN,24
,NO AFFILIATION,6
,Count of Voters in 4106:,134
4107,,
,INDEPENDENCE,1
,NO AFFILIATION,3
,DEMOCRATIC,85
,LIBERTARIAN,1
,INDEPENDENT,1
,REPUBLICAN,21
,Count of Voters in 4107:,112
4108,,
,NO PARTY,1
,DEMOCRATIC,108
,INDEPENDENT,1
,REPUBLICAN,24
,NO AFFILIATION,2
,Count of Voters in 4108:,136
4109,,
,NO AFFILIATION,7
,DEMOCRATIC,110
,INDEPENDENT,4
,REPUBLICAN,29
,Count of Voters in 4109:,150
4110,,
,INDEPENDENT,1
,REPUBLICAN,25
,NO PARTY,1
,NO AFFILIATION,9
,DEMOCRATIC,128
,LIBERTARIAN,1
,Count of Voters in 4110:,165
4111,,
,REPUBLICAN,31
,INDEPENDENT,5
,OTHER,1
,NO AFFILIATION,5
,GREEN,1
,DEMOCRATIC,99
,Count of Voters in 4111:,142
4112,,
,REPUBLICAN,22
,GREEN,1
,DEMOCRATIC,113
,NO AFFILIATION,5
,Count of Voters in 4112:,141
4113,,
,REPUBLICAN,34
,LIBERTARIAN,1
,NO AFFILIATION,5
,DEMOCRATIC,107
,Count of Voters in 4113:,147
4114,,
,INDEPENDENT,1
,NO AFFILIATION,6
,DEMOCRATIC,125
,REPUBLICAN,16
,Count of Voters in 4114:,148
4115,,
,GREEN,1
,NO PARTY,1
,DEMOCRATIC,115
,NO AFFILIATION,9
,LIBERTARIAN,2
,REPUBLICAN,38
,Count of Voters in 4115:,166
4116,,
,NON-PARTISAN,1
,INDEPENDENT,1
,REPUBLICAN,22
,DEMOCRATIC,89
,NO AFFILIATION,3
,Count of Voters in 4116:,116
4117,,
,NO AFFILIATION,6
,UNKNOWN,1
,DEMOCRATIC,114
,REPUBLICAN,39
,NON-PARTISAN,1
,Count of Voters in 4117:,161
4118,,
,OTHER,1
,INDEPENDENT,2
,REPUBLICAN,34
,DEMOCRATIC,102
,LIBERTARIAN,1
4118,,
,NO AFFILIATION,3
,Count of Voters in 4118:,143
4119,,
,REPUBLICAN,45
,DEMOCRATIC,117
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,6
,LIBERTARIAN,1
,INDEPENDENT,2
,OTHER,1
,Count of Voters in 4119:,173
4120,,
,NO AFFILIATION,4
,UNKNOWN,1
,DEMOCRATIC,141
,INDEPENDENT,1
,REPUBLICAN,22
,Count of Voters in 4120:,169
4121,,
,DEMOCRATIC,125
,NO AFFILIATION,4
,INDEPENDENT,2
,REPUBLICAN,32
,Count of Voters in 4121:,163
4122,,
,REPUBLICAN,19
,LIBERTARIAN,1
,DEMOCRATIC,143
,NO PARTY,1
,NO AFFILIATION,8
,Count of Voters in 4122:,172
4123,,
,DEMOCRATIC,124
,LIBERTARIAN,1
,UNKNOWN,1
,REPUBLICAN,50
,NO AFFILIATION,5
,Count of Voters in 4123:,181
4124,,
,OTHER,1
,REPUBLICAN,31
,DEMOCRATIC,148
,NO AFFILIATION,10
,Count of Voters in 4124:,190
4125,,
,REPUBLICAN,34
,LIBERTARIAN,1
,UNKNOWN,1
,DEMOCRATIC,160
,NO AFFILIATION,11
,Count of Voters in 4125:,207
4126,,
,REPUBLICAN,29
,NO AFFILIATION,2
,NO PARTY,1
,DEMOCRATIC,113
,INDEPENDENT,2
,Count of Voters in 4126:,147
4201,,
,DEMOCRATIC,186
,LIBERTARIAN,2
,NO AFFILIATION,10
,INDEPENDENT,2
,OTHER,1
,UNKNOWN,1
,REPUBLICAN,14
,Count of Voters in 4201:,216
4202,,
,LIBERTARIAN,1
,REPUBLICAN,9
,DEMOCRATIC,117
4202,,
,NO AFFILIATION,4
,Count of Voters in 4202:,131
4203,,
,REPUBLICAN,8
,NO AFFILIATION,7
,DEMOCRATIC,130
,Count of Voters in 4203:,145
4204,,
,NO AFFILIATION,5
,UNKNOWN,1
,DEMOCRATIC,120
,REPUBLICAN,6
,Count of Voters in 4204:,132
4205,,
,REPUBLICAN,16
,INDEPENDENT,1
,NO PARTY,1
,DEMOCRATIC,189
,NON-PARTISAN,1
,NO AFFILIATION,5
,Count of Voters in 4205:,213
4206,,
,INDEPENDENT,1
,REPUBLICAN,14
,NO AFFILIATION,1
,DEMOCRATIC,130
,Count of Voters in 4206:,146
4207,,
,REPUBLICAN,11
,NO AFFILIATION,3
,DEMOCRATIC,136
,Count of Voters in 4207:,150
4208,,
,INDEPENDENT,1
,INDEPENDENCE,1
,REPUBLICAN,14
,DEMOCRATIC,144
,LIBERTARIAN,1
,NO AFFILIATION,9
,Count of Voters in 4208:,170
4209,,
,DEMOCRATIC,119
,NO AFFILIATION,7
,INDEPENDENT,1
,REPUBLICAN,9
,Count of Voters in 4209:,136
4210,,
,INDEPENDENT,1
,REPUBLICAN,18
,UNDECIDED,2
,NO AFFILIATION,10
,DEMOCRATIC,131
,Count of Voters in 4210:,162
4211,,
,DEMOCRATIC,168
,OTHER,1
,NO AFFILIATION,5
,REPUBLICAN,6
,Count of Voters in 4211:,180
4212,,
,NO PARTY,1
,NO AFFILIATION,3
,DEMOCRATIC,158
,REPUBLICAN,3
,Count of Voters in 4212:,165
4213,,
,NO AFFILIATION,11
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,334
,INDEPENDENT,1
,OTHER,2
,Count of Voters in 4213:,354
4214,,
,DEMOCRATIC,226
,INDEPENDENCE,1
,NO AFFILIATION,12
,REPUBLICAN,12
,NON-PARTISAN,1
,LIBERTARIAN,1
,Count of Voters in 4214:,253
4215,,
,UNKNOWN,1
,NO PARTY,2
,INDEPENDENT,2
,REPUBLICAN,16
,NO AFFILIATION,11
,DEMOCRATIC,250
,Count of Voters in 4215:,282
4216,,
,REPUBLICAN,15
,NO AFFILIATION,8
,NO PARTY,1
,DEMOCRATIC,173
,INDEPENDENCE,1
,OTHER,2
,Count of Voters in 4216:,200
4217,,
,NO PARTY,2
,REPUBLICAN,11
,NO AFFILIATION,4
,DEMOCRATIC,215
,INDEPENDENT,1
,Count of Voters in 4217:,233
4218,,
,REPUBLICAN,18
,NO AFFILIATION,7
,NO PARTY,1
,UNKNOWN,2
,DEMOCRATIC,245
4218,,
,INDEPENDENT,1
,Count of Voters in 4218:,274
4219,,
,INDEPENDENT,2
,DEMOCRATIC,170
,NO AFFILIATION,6
,REPUBLICAN,14
,Count of Voters in 4219:,192
4220,,
,DEMOCRATIC,234
,NO AFFILIATION,13
,REPUBLICAN,2
,NO PARTY,1
,Count of Voters in 4220:,250
4221,,
,NO PARTY,1
,NO AFFILIATION,6
,REPUBLICAN,6
,DEMOCRATIC,145
,INDEPENDENT,1
,Count of Voters in 4221:,159
4222,,
,DEMOCRATIC,154
,NO PARTY,1
,REPUBLICAN,13
,LIBERTARIAN,1
,NO AFFILIATION,5
,Count of Voters in 4222:,174
4223,,
,REPUBLICAN,10
,DEMOCRATIC,85
,NO AFFILIATION,2
,Count of Voters in 4223:,97
4224,,
,INDEPENDENT,1
,GREEN,1
4224,,
,NO AFFILIATION,10
,REPUBLICAN,13
,DEMOCRATIC,268
,Count of Voters in 4224:,293
4225,,
,DEMOCRATIC,192
,REPUBLICAN,2
,GREEN,1
,NO AFFILIATION,15
,INDEPENDENT,1
,Count of Voters in 4225:,211
4301,,
,DEMOCRATIC,126
,NO AFFILIATION,6
,REPUBLICAN,7
,UNKNOWN,1
,Count of Voters in 4301:,140
4302,,
,INDEPENDENT,2
,OTHER,1
,NO PARTY,1
,LIBERTARIAN,1
,DEMOCRATIC,207
,NO AFFILIATION,10
,REPUBLICAN,10
,Count of Voters in 4302:,232
4303,,
,DEMOCRATIC,154
,INDEPENDENT,2
,NO AFFILIATION,8
,REPUBLICAN,4
,LIBERTARIAN,1
,Count of Voters in 4303:,169
4304,,
,INDEPENDENT,1
,DEMOCRATIC,175
,NO AFFILIATION,8
,REPUBLICAN,10
,Count of Voters in 4304:,194
4305,,
,REPUBLICAN,3
,DEMOCRATIC,137
,NO AFFILIATION,10
,Count of Voters in 4305:,150
4306,,
,DEMOCRATIC,119
,NO AFFILIATION,3
,REPUBLICAN,3
,Count of Voters in 4306:,125
4307,,
,REPUBLICAN,6
,NO AFFILIATION,6
,DEMOCRATIC,178
,INDEPENDENT,1
,NO PARTY,1
,Count of Voters in 4307:,192
4308,,
,LIBERTARIAN,1
,REPUBLICAN,3
,NO AFFILIATION,9
,DEMOCRATIC,129
,Count of Voters in 4308:,142
4309,,
,DEMOCRATIC,133
,NO AFFILIATION,3
,REPUBLICAN,6
,Count of Voters in 4309:,142
4310,,
,NO AFFILIATION,6
,DEMOCRATIC,142
,REPUBLICAN,1
,GREEN,1
,Count of Voters in 4310:,150
4311,,
,NO AFFILIATION,3
,REPUBLICAN,6
,DEMOCRATIC,65
,Count of Voters in 4311:,74
4312,,
,NO AFFILIATION,8
,INDEPENDENT,1
,REPUBLICAN,8
,DEMOCRATIC,124
,LIBERTARIAN,1
,Count of Voters in 4312:,142
4313,,
,GREEN,1
,NO PARTY,1
,REPUBLICAN,7
,NO AFFILIATION,3
,DEMOCRATIC,164
,Count of Voters in 4313:,176
4314,,
,INDEPENDENCE,1
,NO AFFILIATION,2
,REPUBLICAN,3
,DEMOCRATIC,154
,UNKNOWN,1
,Count of Voters in 4314:,161
4315,,
,REPUBLICAN,4
,DEMOCRATIC,152
,INDEPENDENT,1
,NO AFFILIATION,2
,CONSTITUTIONAL,1
,Count of Voters in 4315:,160
4316,,
,NO AFFILIATION,3
,DEMOCRATIC,158
,INDEPENDENT,1
,REPUBLICAN,5
,GREEN,1
,BLACK PANTHER,1
,Count of Voters in 4316:,169
4317,,
,INDEPENDENT,1
,REPUBLICAN,8
,NO PARTY,2
,DEMOCRATIC,108
,NO AFFILIATION,5
,Count of Voters in 4317:,124
4318,,
,DEMOCRATIC,134
,NO AFFILIATION,8
,REPUBLICAN,7
,Count of Voters in 4318:,149
4319,,
,REPUBLICAN,4
,NO AFFILIATION,5
,DEMOCRATIC,163
,Count of Voters in 4319:,172
4320,,
,NO AFFILIATION,6
,NO PARTY,1
,REPUBLICAN,8
,DEMOCRATIC,125
,Count of Voters in 4320:,140
4321,,
,DEMOCRATIC,144
,LIBERTARIAN,1
,NO AFFILIATION,2
,NO PARTY,1
,REPUBLICAN,2
,Count of Voters in 4321:,150
4322,,
,DEMOCRATIC,115
,NO AFFILIATION,2
,REPUBLICAN,4
,Count of Voters in 4322:,121
4323,,
,LIBERTARIAN,2
,DEMOCRATIC,137
,REPUBLICAN,5
,NO AFFILIATION,4
,Count of Voters in 4323:,148
4324,,
,DEMOCRATIC,186
,NO AFFILIATION,5
,CONSTITUTIONAL,1
,OTHER,1
,REPUBLICAN,4
,Count of Voters in 4324:,197
4325,,
,OTHER,1
,REPUBLICAN,8
,DEMOCRATIC,159
,UNKNOWN,1
,NO AFFILIATION,2
,Count of Voters in 4325:,171
4401,,
,INDEPENDENCE,1
,NO AFFILIATION,4
,DEMOCRATIC,211
,NO PARTY,1
,REPUBLICAN,8
,Count of Voters in 4401:,225
4402,,
,REPUBLICAN,3
,DEMOCRATIC,215
,INDEPENDENT,1
,NO AFFILIATION,8
,Count of Voters in 4402:,227
4403,,
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,6
,REPUBLICAN,5
,DEMOCRATIC,153
,Count of Voters in 4403:,166
4404,,
,REPUBLICAN,7
,DEMOCRATIC,186
,INDEPENDENT,1
,LIBERTARIAN,1
,NO AFFILIATION,4
,Count of Voters in 4404:,199
4405,,
,NO PARTY,1
,SOCIALIST PARTY USA,1
,DEMOCRATIC,165
,REPUBLICAN,3
,NO AFFILIATION,1
,UNKNOWN,1
,Count of Voters in 4405:,172
4406,,
,NO PARTY,1
,REPUBLICAN,12
,DEMOCRATIC,278
,GREEN,1
,UNKNOWN,1
,NO AFFILIATION,6
,Count of Voters in 4406:,299
4407,,
,DEMOCRATIC,239
,REPUBLICAN,5
,NO PARTY,1
,OTHER,1
,NO AFFILIATION,2
,Count of Voters in 4407:,248
4408,,
,DEMOCRATIC,119
,INDEPENDENT,1
,REPUBLICAN,2
,NO AFFILIATION,3
,Count of Voters in 4408:,125
4409,,
,DEMOCRATIC,183
,NO AFFILIATION,3
,REPUBLICAN,1
,Count of Voters in 4409:,187
4410,,
,INDEPENDENT DEMOCRAT,1
,REPUBLICAN,3
,NO AFFILIATION,3
,DEMOCRATIC,145
,LIBERTARIAN,2
,Count of Voters in 4410:,154
4411,,
,INDEPENDENT,1
,UNKNOWN,1
,NO AFFILIATION,4
,LIBERTARIAN,2
,DEMOCRATIC,250
,Count of Voters in 4411:,258
4412,,
,DEMOCRATIC,126
,NO AFFILIATION,5
,REPUBLICAN,2
,Count of Voters in 4412:,133
4413,,
,INDEPENDENT,1
,NO AFFILIATION,2
,NO PARTY,2
,REPUBLICAN,5
,DEMOCRATIC,178
,Count of Voters in 4413:,188
4414,,
,DEMOCRATIC,206
,INDEPENDENT,1
,NO AFFILIATION,7
,REPUBLICAN,5
,UNKNOWN,1
,Count of Voters in 4414:,220
4415,,
,DEMOCRATIC,212
,NO AFFILIATION,10
,INDEPENDENT,3
,REPUBLICAN,3
,Count of Voters in 4415:,228
4416,,
,CONSTITUTIONAL,1
,DEMOCRATIC,168
,NO AFFILIATION,6
,NO PARTY,1
,INDEPENDENT,4
,REPUBLICAN,4
,Count of Voters in 4416:,184
4417,,
,DEMOCRATIC,155
,LIBERTARIAN,1
,CONSTITUTION,1
,UNKNOWN,1
,INDEPENDENT,1
,REPUBLICAN,2
,NO AFFILIATION,6
,Count of Voters in 4417:,167
4418,,
,OTHER,1
,DEMOCRATIC,181
,NO AFFILIATION,3
,REPUBLICAN,2
,UNKNOWN,1
,Count of Voters in 4418:,188
4419,,
,NO AFFILIATION,5
,DEMOCRATIC,225
,REPUBLICAN,6
,INDEPENDENT,2
,UNKNOWN,1
,Count of Voters in 4419:,239
4501,,
,GREEN,1
,DEMOCRATIC,121
,NO AFFILIATION,8
,INDEPENDENT,4
,NO PARTY,1
,REPUBLICAN,106
,Count of Voters in 4501:,241
4502,,
,DEMOCRATIC,115
,NO AFFILIATION,7
,NO PARTY,2
,REPUBLICAN,42
,Count of Voters in 4502:,166
4503,,
,DEMOCRATIC,192
,REPUBLICAN,161
,LIBERAL,1
,INDEPENDENT,4
,NO AFFILIATION,11
,Count of Voters in 4503:,369
4504,,
,NO PARTY,1
,LIBERTARIAN,2
,REPUBLICAN,111
,INDEPENDENT,1
,INDEPENDENCE,1
,DEMOCRATIC,169
,NO AFFILIATION,16
,Count of Voters in 4504:,301
4505,,
,DEMOCRATIC,120
,NO AFFILIATION,12
,NON-PARTISAN,2
,INDEPENDENT,1
,LIBERTARIAN,1
,REPUBLICAN,75
,NO PARTY,1
,Count of Voters in 4505:,212
4506,,
,GREEN,1
,DEMOCRATIC,103
,NO AFFILIATION,5
,INDEPENDENT,2
,REPUBLICAN,50
,LIBERTARIAN,2
,Count of Voters in 4506:,163
4507,,
,DEMOCRATIC,91
,NO AFFILIATION,7
,INDEPENDENT,1
,REPUBLICAN,42
,NO PARTY,2
,Count of Voters in 4507:,143
4508,,
,REPUBLICAN,21
,UNKNOWN,1
,DEMOCRATIC,83
,LIBERTARIAN,1
,NO AFFILIATION,5
,GREEN,1
,Count of Voters in 4508:,112
4509,,
,DEMOCRATIC,81
,REPUBLICAN,6
,INDEPENDENT,2
,NO AFFILIATION,1
,Count of Voters in 4509:,90
4510,,
,NO AFFILIATION,5
,DEMOCRATIC,74
,INDEPENDENT,1
,REPUBLICAN,12
,Count of Voters in 4510:,92
4511,,
,REPUBLICAN,20
,NO AFFILIATION,4
,DEMOCRATIC,94
,Count of Voters in 4511:,118
4512,,
,NO AFFILIATION,3
,DEMOCRATIC,42
,INDEPENDENT,1
,REPUBLICAN,21
,Count of Voters in 4512:,67
4513,,
,INDEPENDENT,1
,REPUBLICAN,22
,DEMOCRATIC,94
,NO AFFILIATION,8
,Count of Voters in 4513:,125
4514,,
,REPUBLICAN,9
,DEMOCRATIC,27
,LIBERTARIAN,1
,NO AFFILIATION,4
,NO PARTY,1
,Count of Voters in 4514:,42
4515,,
,NO AFFILIATION,8
,DEMOCRATIC,122
,LIBERTARIAN,1
,GREEN,1
,REPUBLICAN,61
,INDEPENDENT,1
,Count of Voters in 4515:,194
4516,,
,NOT SURE,1
,REPUBLICAN,14
,GREEN,1
,DEMOCRATIC,69
,NO AFFILIATION,2
,Count of Voters in 4516:,87
4517,,
,DEMOCRATIC,120
,REPUBLICAN,18
,UNKNOWN,1
,NO AFFILIATION,10
,NO PARTY,1
,INDEPENDENT,1
,Count of Voters in 4517:,151
4518,,
,NO AFFILIATION,6
,REPUBLICAN,12
,DEMOCRATIC,75
,Count of Voters in 4518:,93
4519,,
,OTHER,1
,REPUBLICAN,12
,DEMOCRATIC,82
,NO AFFILIATION,3
,Count of Voters in 4519:,98
4520,,
,DEMOCRATIC,157
,INDEPENDENT,5
,NO AFFILIATION,5
,REPUBLICAN,113
,Count of Voters in 4520:,280
4521,,
,DEMOCRATIC,77
,NO AFFILIATION,1
,REPUBLICAN,23
,Count of Voters in 4521:,101
4522,,
,UNKNOWN,1
,DEMOCRATIC,117
,INDEPENDENT,1
,NO AFFILIATION,9
,REPUBLICAN,77
,Count of Voters in 4522:,205
4523,,
,LIBERTARIAN,1
,REFORM,1
,REPUBLICAN,88
,DEMOCRATIC,145
,NO AFFILIATION,7
,INDEPENDENT,1
,Count of Voters in 4523:,243
4524,,
,LIBERTARIAN,2
,NO AFFILIATION,4
,REPUBLICAN,118
,INDEPENDENT,1
,NO PARTY,1
,UNKNOWN,1
,DEMOCRATIC,151
,Count of Voters in 4524:,278
4525,,
,DEMOCRATIC,95
,INDEPENDENT,2
,NO AFFILIATION,11
,REPUBLICAN,75
,Count of Voters in 4525:,183
4601,,
,GREEN,8
,DEMOCRATIC,303
,NON-PARTISAN,1
,LIBERTARIAN,4
,INDEPENDENT,2
,REPUBLICAN,14
,NO AFFILIATION,44
,Count of Voters in 4601:,376
4602,,
,NON-PARTISAN,2
,DEMOCRATIC,234
,GREEN,2
,NO PARTY,2
,INDEPENDENT,2
,REPUBLICAN,9
,NO AFFILIATION,25
,Count of Voters in 4602:,276
4603,,
,NO PARTY,1
,DEMOCRATIC,250
,GREEN,3
,LIBERTARIAN,1
,NON-PARTISAN,1
,NO AFFILIATION,19
,INDEPENDENT,1
,REPUBLICAN,6
,Count of Voters in 4603:,282
4604,,
,NO AFFILIATION,3
,INDEPENDENT,1
,REPUBLICAN,2
,NON-PARTISAN,1
,DEMOCRATIC,171
,NO PARTY,1
,Count of Voters in 4604:,179
4605,,
,DEMOCRATIC,235
,CONSTITUTIONAL,1
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,7
,REPUBLICAN,4
,Count of Voters in 4605:,249
4606,,
,NO AFFILIATION,8
,DEMOCRATIC,287
,LIBERTARIAN,1
,REPUBLICAN,4
,Count of Voters in 4606:,300
4607,,
,NO AFFILIATION,15
,REPUBLICAN,5
,NO PARTY,1
,DEMOCRATIC,230
,GREEN,2
,INDEPENDENT,2
,Count of Voters in 4607:,255
4608,,
,GREEN,3
,NO PARTY,1
,NONE,1
,DEMOCRATIC SOCIALIST,2
,DEMOCRATIC,269
,LIBERTARIAN,1
,INDEPENDENT,4
,REPUBLICAN,10
,NO AFFILIATION,31
,SOCIALIST,1
,NON-PARTISAN,2
,Count of Voters in 4608:,325
4609,,
,NO AFFILIATION,31
,REPUBLICAN,3
,NO PARTY,1
,DEMOCRATIC,227
,INDEPENDENT,1
4609,,
,GREEN,2
,Count of Voters in 4609:,265
4610,,
,NON-PARTISAN,1
,UNKNOWN,1
,DEMOCRATIC,204
,LIBERTARIAN,1
,NO AFFILIATION,13
,REPUBLICAN,4
,INDEPENDENT,3
,PA FOR PEROT,1
,ANARCHIST,1
,GREEN,3
,Count of Voters in 4610:,232
4611,,
,INDEPENDENT,1
,NO AFFILIATION,10
,NO PARTY,1
,DEMOCRATIC,282
,REPUBLICAN,7
,Count of Voters in 4611:,301
4612,,
,NO AFFILIATION,2
,GREEN,1
,DEMOCRATIC,257
,REPUBLICAN,3
,Count of Voters in 4612:,263
4613,,
,INDEPENDENT,2
,DEMOCRATIC,224
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,6
,Count of Voters in 4613:,237
4614,,
,REPUBLICAN,6
,DEMOCRATIC,178
,NO AFFILIATION,4
,Count of Voters in 4614:,188
4615,,
,INDEPENDENT,1
,REPUBLICAN,3
,DEMOCRATIC,246
,NO AFFILIATION,2
,LIBERTARIAN,1
,Count of Voters in 4615:,253
4616,,
,NO AFFILIATION,27
,GREEN,5
,LIBERTARIAN,1
,NONE,1
,INDEPENDENT,1
,REPUBLICAN,14
,DEMOCRATIC,295
,Count of Voters in 4616:,344
4617,,
,DEMOCRATIC,393
,INDEPENDENT,3
,REPUBLICAN,25
,LIBERTARIAN,2
,GREEN,4
,NO AFFILIATION,44
,NON-PARTISAN,2
,Count of Voters in 4617:,473
4618,,
,INDEPENDENT,2
,NO AFFILIATION,27
,GREEN,3
,NON-PARTISAN,1
,DEMOCRATIC,233
,LIBERTARIAN,1
,REPUBLICAN,13
,Count of Voters in 4618:,280
4619,,
,INDEPENDENCE,1
,DEMOCRATIC,375
,NO PARTY,1
,INDEPENDENT,6
,REPUBLICAN,25
,UNKNOWN,1
,OTHER,1
,NO AFFILIATION,42
,NON-PARTISAN,2
,Count of Voters in 4619:,454
4620,,
,DEMOCRATIC,212
,REPUBLICAN,1
,NO AFFILIATION,6
,GREEN,1
,Count of Voters in 4620:,220
4621,,
,DEMOCRATIC,200
,NO PARTY,1
,REPUBLICAN,4
,LIBERTARIAN,1
,NO AFFILIATION,5
,Count of Voters in 4621:,211
4622,,
,GREEN,2
,INDEPENDENT,3
,DEMOCRATIC,242
,NO AFFILIATION,24
,REPUBLICAN,3
,Count of Voters in 4622:,274
4623,,
,GREEN,4
,NO AFFILIATION,39
,INDEPENDENT,2
,REPUBLICAN,11
,LIBERTARIAN,3
,NO PARTY,2
4623,,
,DEMOCRATIC,229
,Count of Voters in 4623:,290
4701,,
,GREEN,1
,INDEPENDENT,1
,NO AFFILIATION,13
,DEMOCRATIC,128
,REPUBLICAN,7
,Count of Voters in 4701:,150
4702,,
,DEMOCRATIC,109
,REPUBLICAN,7
,NO AFFILIATION,7
,NO PARTY,1
,Count of Voters in 4702:,124
4703,,
,INDEPENDENT,1
,GREEN,1
,NO AFFILIATION,11
,NO PARTY,1
,REPUBLICAN,7
,DEMOCRATIC SOCIALIST,1
,DEMOCRATIC,102
,Count of Voters in 4703:,124
4704,,
,GREEN,2
,DEMOCRATIC,96
,REPUBLICAN,3
,NO AFFILIATION,6
,NO PARTY,1
,Count of Voters in 4704:,108
4705,,
,DEMOCRATIC,137
,LIBERTARIAN,1
,INDEPENDENT,2
,REPUBLICAN,1
4705,,
,NO AFFILIATION,5
,NO PARTY,2
,Count of Voters in 4705:,148
4706,,
,NO AFFILIATION,8
,REPUBLICAN,3
,DEMOCRATIC,96
,Count of Voters in 4706:,107
4707,,
,OTHER,1
,DEMOCRATIC,119
,REPUBLICAN,1
,NO AFFILIATION,6
,Count of Voters in 4707:,127
4708,,
,REPUBLICAN,3
,NO AFFILIATION,2
,DEMOCRATIC,151
,INDEPENDENT DEMOCRAT,1
,LABOR,1
,Count of Voters in 4708:,158
4709,,
,DEMOCRATIC,85
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 4709:,89
4710,DEMOCRATIC,77
,REPUBLICAN,3
,FREEDOM,1
,OTHER,1
,NO AFFILIATION,3
,Count of Voters in 4710:,85
4711,,
,REPUBLICAN,4
,DEMOCRATIC,126
,NO AFFILIATION,4
,Count of Voters in 4711:,134
4712,,
,REPUBLICAN,6
,DEMOCRATIC,60
,NO AFFILIATION,7
,Count of Voters in 4712:,73
4713,,
,DEMOCRATIC,141
,INDEPENDENT,2
,REPUBLICAN,1
,NO AFFILIATION,1
,OTHER,1
,Count of Voters in 4713:,146
4714,,
,REPUBLICAN,3
,DEMOCRATIC,71
,LIBERTARIAN,1
,NO AFFILIATION,5
,Count of Voters in 4714:,80
4801,,
,DEMOCRATIC,154
,INDEPENDENT,1
,NO PARTY,2
,NONE,1
,REPUBLICAN,5
,NO AFFILIATION,9
,Count of Voters in 4801:,172
4802,,
,DEMOCRATIC,217
,REPUBLICAN,5
,NO PARTY,1
,OTHER,1
,NO AFFILIATION,5
,Count of Voters in 4802:,229
4803,,
,INDEPENDENT,3
,NO AFFILIATION,7
,REPUBLICAN,5
,GREEN,1
,DEMOCRATIC,244
,Count of Voters in 4803:,260
4804,,
,NO AFFILIATION,2
,DEMOCRATIC,204
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,5
,Count of Voters in 4804:,213
4805,,
,DEMOCRATIC,155
,NO AFFILIATION,4
,REPUBLICAN,6
,INDEPENDENT,3
,AMERICAN INDEPENDENT,1
,Count of Voters in 4805:,169
4806,,
,DEMOCRATIC,190
,OTHER,1
,LIBERTARIAN,1
,NO AFFILIATION,10
,REPUBLICAN,7
,Count of Voters in 4806:,209
4807,,
,NO PARTY,1
,INDEPENDENT,1
,DEMOCRATIC,164
,REPUBLICAN,28
,OTHER,1
,NO AFFILIATION,4
,Count of Voters in 4807:,199
4808,,
,NO AFFILIATION,8
,CONSTITUTIONAL,1
,NO PARTY,2
,REPUBLICAN,6
,DEMOCRATIC,224
,Count of Voters in 4808:,241
4809,,
,OTHER,1
,NO AFFILIATION,11
,REPUBLICAN,8
,DEMOCRATIC,157
